iter	Passed	Remaining
142	643	3855
143	648	3855
144	653	3855
145	659	3856
146	664	3857
147	670	3860
148	676	3864
149	681	3863
150	686	3862
151	692	3864
152	698	3864
153	704	3870
154	713	3887
155	721	3902
156	729	3915
157	737	3929
158	745	3941
159	752	3950
160	760	3961
161	767	3971
162	774	3976
163	781	3982
164	788	3990
165	795	3997
166	802	4004
167	809	4007
168	816	4013
169	821	4012
170	827	4012
171	833	4012
172	839	4011
173	844	4008
174	850	4007
175	855	4005
176	860	4002
177	866	3999
178	872	4001
179	877	3998
180	882	3994
181	888	3991
182	892	3986
183	898	3983
184	903	3982
185	909	3980
186	915	3978
187	920	3974
188	925	3969
189	930	3965
190	934	3960
191	939	3954
192	944	3950
193	949	3945
194	954	3940
195	959	3937
196	964	3932
197	969	3927
198	974	3922
199	979	3916
200	983	3908
201	987	3901
202	992	3895
203	996	3888
204	1001	3883
205	1006	3877
206	1010	3871
207	1015	3866
208	1020	3863
209	1025	3857
210	1030	3851
211	1034	3847
212	1039	3840
213	1044	3835
214	1048	3829
215	1053	3823
216	1058	3819
217	1065	3820
218	1070	3817
219	1075	3814
220	1081	3811
221	1086	3807
222	1091	3803
223	1096	3800
224	1101	3795
225	1107	3791
226	1112	3787
227	1116	3782
228	1122	3778
229	1127	3774
230	1132	3769
231	1137	3765
232	1142	3761
233	1147	3756
234	1152	3752
235	1157	3747
236	1162	3741
237	1166	3735
238	1171	3730
239	1176	3724
240	1180	3718
241	1185	3714
242	1190	3708
243	1194	3701
244	1199	3695
245	1203	3689
246	1208	3683
247	1213	3678
248	1218	3673
249	1222	3668
250	1228	3664
251	1234	3663
252	1238	3657
253	1243	3653
254	1249	3649
255	1253	3643
256	1258	3639
257	1264	3636
258	1269	3630
259	1274	3627
260	1279	3622
261	1284	3617
262	1289	3612
263	1293	3607
264	1299	3603
265	1304	3599
266	1308	3592
267	1314	3589
268	1318	3583
269	1323	3578
270	1328	3573
271	1334	3570
272	1339	3566
273	1343	3560
274	1348	3555
275	1353	3551
276	1358	3545
277	1363	3541
278	1368	3535
279	1372	3529
280	1377	3524
281	1382	3520
282	1387	3515
283	1392	3510
284	1397	3505
285	1402	3500
286	1406	3495
287	1412	3490
288	1416	3485
289	1421	3479
290	1426	3476
291	1431	3471
292	1437	3467
293	1443	3466
294	1449	3463
295	1454	3459
296	1460	3456
297	1465	3453
298	1471	3450
299	1477	3447
300	1483	3444
301	1488	3440
302	1493	3436
303	1499	3432
304	1504	3428
305	1510	3426
306	1517	3424
307	1522	3420
308	1527	3415
309	1531	3409
310	1536	3403
311	1540	3397
312	1545	3391
313	1549	3384
314	1553	3378
315	1557	3372
316	1562	3366
317	1566	3360
318	1571	3354
319	1576	3349
320	1580	3344
321	1586	3339
322	1590	3333
323	1595	3328
324	1599	3322
325	1603	3316
326	1608	3310
327	1612	3303
328	1616	3297
329	1621	3291
330	1625	3284
331	1630	3279
332	1634	3274
333	1639	3269
334	1644	3263
335	1648	3257
336	1652	3251
337	1657	3246
338	1661	3240
339	1666	3234
340	1671	3229
341	1676	3225
342	1681	3220
343	1686	3216
344	1691	3211
345	1694	3202
346	1698	3196
347	1703	3191
348	1708	3186
349	1713	3182
350	1718	3177
351	1722	3170
352	1726	3164
353	1731	3159
354	1736	3154
355	1741	3149
356	1745	3144
357	1749	3138
358	1754	3132
359	1758	3126
360	1763	3121
361	1767	3115
362	1772	3110
363	1777	3105
364	1781	3100
365	1786	3094
366	1790	3089
367	1795	3083
368	1800	3078
369	1804	3072
370	1809	3067
371	1813	3061
372	1817	3055
373	1822	3050
374	1827	3045
375	1832	3040
376	1837	3036
377	1842	3031
378	1846	3026
379	1851	3020
380	1855	3014
381	1859	3008
382	1864	3003
383	1869	2998
384	1873	2992
385	1877	2987
386	1882	2981
387	1886	2975
388	1890	2970
389	1894	2963
390	1899	2958
391	1903	2952
392	1908	2947
393	1912	2941
394	1917	2936
395	1922	2931
396	1926	2926
397	1931	2921
398	1935	2915
399	1939	2909
400	1944	2904
401	1949	2899
402	1954	2894
403	1958	2889
404	1963	2885
405	1968	2879
406	1972	2873
407	1976	2868
408	1981	2863
409	1985	2857
410	1990	2852
411	1995	2847
412	1999	2841
413	2004	2836
414	2008	2831
415	2012	2825
416	2016	2819
417	2021	2814
418	2025	2808
419	2029	2803
420	2034	2798
421	2038	2792
422	2043	2787
423	2047	2781
424	2052	2776
425	2056	2771
426	2061	2766
427	2066	2761
428	2070	2756
429	2075	2750
430	2080	2745
431	2084	2741
432	2089	2736
433	2094	2731
434	2099	2726
435	2104	2721
436	2108	2716
437	2113	2711
438	2118	2707
439	2123	2703
440	2128	2698
441	2133	2693
442	2138	2688
443	2143	2684
444	2149	2680
445	2154	2675
446	2160	2672
447	2166	2668
448	2171	2664
449	2176	2660
450	2181	2655
451	2186	2651
452	2192	2647
453	2197	2642
454	2202	2638
455	2208	2634
456	2213	2629
457	2218	2625
458	2224	2621
459	2229	2617
460	2234	2612
461	2240	2608
462	2245	2604
463	2250	2599
464	2256	2596
465	2261	2591
466	2266	2586
467	2271	2582
468	2276	2577
469	2281	2573
470	2286	2568
471	2292	2564
472	2297	2559
473	2302	2554
474	2307	2550
475	2312	2545
476	2317	2540
477	2322	2536
478	2326	2530
479	2331	2525
480	2335	2520
481	2340	2515
482	2345	2510
483	2350	2506
484	2355	2501
485	2360	2496
486	2365	2491
487	2370	2486
488	2375	2481
489	2379	2476
490	2384	2472
491	2389	2467
492	2394	2462
493	2399	2457
494	2404	2453
495	2410	2449
496	2415	2444
497	2420	2440
498	2426	2435
499	2431	2431
500	2436	2427
501	2442	2423
502	2448	2419
503	2454	2415
504	2460	2411
505	2465	2407
506	2471	2403
507	2477	2399
508	2483	2395
509	2489	2391
510	2494	2387
511	2500	2382
512	2505	2378
513	2510	2374
514	2515	2369
515	2521	2365
516	2527	2360
517	2532	2356
518	2537	2351
519	2542	2346
520	2547	2342
521	2552	2337
522	2557	2332
523	2562	2328
524	2568	2324
525	2573	2319
526	2578	2314
527	2583	2309
528	2588	2304
529	2593	2299
530	2597	2294
531	2602	2289
532	2607	2284
533	2611	2278
534	2615	2273
535	2619	2267
536	2624	2262
537	2628	2257
538	2633	2252
539	2638	2247
540	2642	2242
541	2648	2237
542	2653	2233
543	2658	2228
544	2664	2224
545	2669	2219
546	2675	2215
547	2680	2211
548	2686	2207
549	2691	2202
550	2696	2197
551	2700	2191
552	2705	2186
553	2709	2181
554	2714	2176
555	2718	2171
556	2723	2166
557	2728	2161
558	2733	2156
559	2738	2151
560	2743	2147
561	2748	2142
562	2753	2137
563	2758	2132
564	2763	2127
565	2767	2122
566	2772	2117
567	2777	2112
568	2782	2107
569	2787	2102
570	2792	2097
571	2797	2093
572	2802	2088
573	2807	2083
574	2812	2079
575	2818	2074
576	2823	2069
577	2827	2064
578	2832	2059
579	2838	2055
580	2842	2050
581	2849	2046
582	2855	2042
583	2861	2038
584	2867	2034
585	2874	2030
586	2881	2027
587	2888	2024
588	2895	2020
589	2902	2016
590	2908	2012
591	2915	2009
592	2922	2005
593	2929	2002
594	2936	1999
595	2943	1995
596	2949	1991
597	2954	1986
598	2959	1981
599	2964	1976
600	2969	1971
601	2974	1966
602	2978	1961
603	2983	1955
604	2987	1950
605	2992	1945
606	2996	1940
607	3000	1934
608	3005	1929
609	3009	1924
610	3014	1919
611	3018	1913
612	3023	1908
613	3027	1903
614	3032	1898
615	3036	1892
616	3042	1888
617	3046	1883
618	3052	1878
619	3056	1873
620	3061	1868
621	3066	1863
622	3071	1858
623	3075	1853
624	3080	1848
625	3085	1843
626	3089	1838
627	3094	1832
628	3098	1827
629	3103	1822
630	3107	1817
631	3112	1812
632	3116	1807
633	3121	1802
634	3125	1796
635	3130	1791
636	3135	1786
637	3139	1781
638	3144	1776
639	3148	1771
640	3153	1766
641	3157	1760
642	3162	1755
643	3166	1750
644	3171	1745
645	3176	1740
646	3180	1735
647	3185	1730
648	3189	1724
649	3194	1719
650	3198	1714
651	3202	1709
652	3206	1704
653	3211	1698
654	3215	1693
655	3219	1688
656	3224	1683
657	3228	1677
658	3232	1672
659	3237	1667
660	3241	1662
661	3246	1657
662	3251	1652
663	3255	1647
664	3260	1642
665	3264	1637
666	3268	1632
667	3273	1627
668	3277	1621
669	3282	1616
670	3286	1611
671	3290	1606
672	3294	1600
673	3299	1596
674	3304	1590
675	3308	1585
676	3313	1580
677	3317	1575
678	3322	1570
679	3326	1565
680	3330	1560
681	3334	1554
682	3339	1549
683	3344	1545
684	3349	1540
685	3354	1535
686	3359	1530
687	3363	1525
688	3368	1520
689	3373	1515
690	3378	1510
691	3383	1506
692	3388	1501
693	3393	1496
694	3398	1491
695	3402	1486
696	3406	1481
697	3411	1476
698	3416	1471
699	3421	1466
700	3425	1461
701	3430	1456
702	3435	1451
703	3439	1445
704	3444	1441
705	3448	1436
706	3452	1431
707	3457	1426
708	3462	1421
709	3466	1415
710	3471	1410
711	3475	1405
712	3480	1400
713	3484	1395
714	3489	1390
715	3493	1385
716	3498	1380
717	3503	1375
718	3508	1371
719	3512	1366
720	3517	1361
721	3522	1356
722	3526	1351
723	3531	1346
724	3536	1341
725	3541	1336
726	3545	1331
727	3550	1326
728	3555	1321
729	3559	1316
730	3564	1311
731	3569	1306
732	3573	1301
733	3578	1296
734	3583	1291
735	3588	1287
736	3592	1282
737	3597	1277
738	3602	1272
739	3606	1267
740	3610	1262
741	3615	1257
742	3620	1252
743	3624	1247
744	3629	1242
745	3634	1237
746	3639	1232
747	3644	1227
748	3649	1222
749	3653	1217
750	3658	1213
751	3663	1208
752	3668	1203
753	3672	1198
754	3677	1193
755	3681	1188
756	3687	1183
757	3692	1179
758	3697	1174
759	3702	1169
760	3707	1164
761	3712	1159
762	3716	1154
763	3721	1149
764	3725	1144
765	3729	1139
766	3733	1134
767	3737	1129
768	3741	1124
769	3745	1118
770	3750	1113
771	3754	1108
772	3759	1103
773	3763	1099
774	3768	1094
775	3773	1089
776	3777	1084
777	3782	1079
778	3786	1074
779	3791	1069
780	3795	1064
781	3800	1059
782	3805	1054
783	3809	1049
784	3813	1044
785	3818	1039
786	3822	1034
787	3826	1029
788	3831	1024
789	3835	1019
790	3840	1014
791	3844	1009
792	3848	1004
793	3853	999
794	3857	994
795	3862	989
796	3867	984
797	3871	980
798	3876	975
799	3880	970
800	3884	965
801	3888	960
802	3893	955
803	3897	950
804	3902	945
805	3906	940
806	3911	935
807	3916	930
808	3921	925
809	3927	921
810	3932	916
811	3937	911
812	3943	907
813	3948	902
814	3953	897
815	3959	892
816	3964	887
817	3968	882
818	3973	878
819	3978	873
820	3984	868
821	3990	864
822	3995	859
823	4000	854
824	4005	849
825	4009	844
826	4014	839
827	4018	834
828	4023	829
829	4027	824
830	4032	820
831	4037	815
832	4042	810
833	4046	805
834	4051	800
835	4055	795
836	4060	790
837	4064	785
838	4069	780
839	4073	775
840	4078	771
841	4082	766
842	4087	761
843	4091	756
844	4096	751
845	4101	746
846	4105	741
847	4110	736
848	4114	731
849	4118	726
850	4123	721
851	4127	717
852	4131	712
853	4136	707
854	4140	702
855	4144	697
856	4148	692
857	4152	687
858	4157	682
859	4161	677
860	4165	672
861	4169	667
862	4173	662
863	4178	657
864	4182	652
865	4187	647
866	4191	643
867	4196	638
868	4201	633
869	4205	628
870	4210	623
871	4214	618
872	4219	613
873	4223	608
874	4228	604
875	4232	599
876	4237	594
877	4241	589
878	4245	584
879	4250	579
880	4254	574
881	4259	569
882	4263	564
883	4267	560
884	4272	555
885	4276	550
886	4280	545
887	4284	540
888	4289	535
889	4293	530
890	4297	525
891	4301	520
892	4306	516
893	4311	511
894	4315	506
895	4320	501
896	4324	496
897	4328	491
898	4333	486
899	4337	481
900	4341	477
901	4346	472
902	4350	467
903	4354	462
904	4359	457
905	4363	452
906	4367	447
907	4372	443
908	4376	438
909	4380	433
910	4385	428
911	4389	423
912	4393	418
913	4398	413
914	4403	409
915	4409	404
916	4419	399
917	4427	395
918	4437	391
919	4444	386
920	4451	381
921	4457	377
922	4465	372
923	4471	367
924	4476	362
925	4480	358
926	4484	353
927	4489	348
928	4493	343
929	4498	338
930	4502	333
931	4507	328
932	4511	324
933	4516	319
934	4520	314
935	4524	309
936	4529	304
937	4533	299
938	4537	294
939	4542	289
940	4546	285
941	4550	280
942	4554	275
943	4559	270
944	4563	265
945	4568	260
946	4573	255
947	4577	251
948	4582	246
949	4586	241
950	4591	236
951	4595	231
952	4600	226
953	4604	222
954	4609	217
955	4613	212
956	4618	207
957	4623	202
958	4627	197
959	4632	193
960	4636	188
961	4640	183
962	4645	178
963	4649	173
964	4653	168
965	4657	163
966	4662	159
967	4666	154
968	4671	149
969	4675	144
970	4679	139
971	4684	134
972	4688	130
973	4693	125
974	4697	120
975	4702	115
976	4706	110
977	4710	105
978	4715	101
979	4719	96
980	4723	91
981	4728	86
982	4733	81
983	4737	77
984	4741	72
985	4746	67
986	4750	62
987	4754	57
988	4758	52
989	4763	48
990	4767	43
991	4772	38
992	4777	33
993	4781	28
994	4786	24
995	4791	19
996	4796	14
997	4801	9
998	4805	4
999	4810	0
