iter	Logloss
0	0.6561134051
1	0.6202157622
2	0.5893068756
3	0.5595497539
4	0.534350885
5	0.5065104701
6	0.4809366328
7	0.4647255244
8	0.4454582795
9	0.4300632694
10	0.4130584904
11	0.3963116824
12	0.3831726234
13	0.369396994
14	0.3559822356
15	0.3430774385
16	0.3314571297
17	0.3214600998
18	0.3112379927
19	0.3019287964
20	0.2923107932
21	0.284745344
22	0.2773428956
23	0.2707427151
24	0.2649436277
25	0.258709044
26	0.2545233565
27	0.2508099306
28	0.2455570892
29	0.2405831244
30	0.2354284572
31	0.2311114347
32	0.2267616786
33	0.2228020829
34	0.2197189531
35	0.2164288351
36	0.2129096751
37	0.2100301427
38	0.2075922074
39	0.2047139699
40	0.2027191402
41	0.1998160722
42	0.1974897944
43	0.1950095136
44	0.1928285881
45	0.1906410144
46	0.1887087684
47	0.1871612362
48	0.1853400069
49	0.1836636494
50	0.181835772
51	0.1800537109
52	0.1788695862
53	0.1774078663
54	0.1757275839
55	0.1746512452
56	0.1733556232
57	0.1718457507
58	0.1708834324
59	0.169819589
60	0.1687671464
61	0.1674976633
62	0.1662303828
63	0.1649472428
64	0.1640190865
65	0.1630593314
66	0.1620736243
67	0.1611821533
68	0.1601923077
69	0.1591924766
70	0.1582101203
71	0.1574629336
72	0.1566841613
73	0.155838827
74	0.1547558268
75	0.1540041412
76	0.1530220786
77	0.1523508521
78	0.1514932227
79	0.1508070845
80	0.1501815676
81	0.1494164922
82	0.1487190066
83	0.1480067563
84	0.1471907915
85	0.1466547181
86	0.1459516924
87	0.1453270699
88	0.1446541747
89	0.1440470004
90	0.1434484233
91	0.142976055
92	0.1424944219
93	0.1417287458
94	0.1412694736
95	0.1406496971
96	0.1401983012
97	0.1396710787
98	0.1391265682
99	0.1384162803
100	0.1380133575
101	0.1374357128
102	0.1367996229
103	0.1363730577
104	0.1359340504
105	0.1354597063
106	0.1350020628
107	0.1346658088
108	0.134181479
109	0.1336868299
110	0.1333598673
111	0.1328222987
112	0.1325571723
113	0.1320324995
114	0.1315674736
115	0.1310784848
116	0.1307144365
117	0.1302485161
118	0.1297977344
119	0.1295136646
120	0.1292197827
121	0.1289640011
122	0.1284258718
123	0.1281597041
124	0.1278841648
125	0.1274809883
126	0.1271767604
127	0.126842936
128	0.1265726699
129	0.1262168317
130	0.1258823932
131	0.1253953401
132	0.1250126289
133	0.1246995901
134	0.1242904062
135	0.1239543658
136	0.1235116607
137	0.1231591065
138	0.1228870782
139	0.122386128
140	0.1220349757
141	0.1217788202
142	0.1212762948
143	0.1208235506
144	0.1205166527
145	0.1200864697
146	0.1197563966
147	0.1193740057
148	0.1191118963
149	0.118784947
150	0.1183832791
151	0.1181157764
152	0.1179306017
153	0.1176233166
154	0.1174365533
155	0.1171353157
156	0.1168749685
157	0.116666405
158	0.1163078301
159	0.1160182335
160	0.1157226696
161	0.1155245723
162	0.1151847939
163	0.1149255681
164	0.1145919039
165	0.1142870085
166	0.1139992808
167	0.1136459925
168	0.1133265725
169	0.1130818979
170	0.1128880191
171	0.1125375075
172	0.1123125772
173	0.1120284674
174	0.1116152185
175	0.111464266
176	0.1112998502
177	0.1109621343
178	0.110645104
179	0.1104426613
180	0.1102178312
181	0.1100990115
182	0.10988392
183	0.1095794384
184	0.1092203562
185	0.1089303725
186	0.10866038
187	0.1084114335
188	0.1082586721
189	0.1080123755
190	0.1076948578
191	0.1073941408
192	0.1071007129
193	0.1069518963
194	0.1067601535
195	0.1065250841
196	0.1062462674
197	0.1059897449
198	0.1057914006
199	0.1056641907
200	0.1053469066
201	0.1051135526
202	0.1047032607
203	0.1044492613
204	0.1042469121
205	0.1040846457
206	0.1037880938
207	0.1035613146
208	0.1033071016
209	0.103114184
210	0.1029130096
211	0.1026841612
212	0.102548374
213	0.1023548557
214	0.1020626158
215	0.1018964178
216	0.1017454319
217	0.1016425319
218	0.1014679703
219	0.1012127493
220	0.1010971136
221	0.101004593
222	0.1007704981
223	0.1005783682
224	0.1005199095
225	0.1002024386
226	0.09995222384
227	0.09986134527
228	0.0997393417
229	0.09959005788
230	0.0994220777
231	0.09926531133
232	0.09914637822
233	0.09895372766
234	0.09878689557
235	0.09855458284
236	0.09835189325
237	0.09816869434
238	0.09806759652
239	0.09795457735
240	0.09781913056
241	0.09762106
242	0.09738926124
243	0.09728895773
244	0.09713940691
245	0.09699627066
246	0.09680064978
247	0.09670385059
248	0.09649297092
249	0.09636766996
250	0.09621881333
251	0.09605893647
252	0.09596684307
253	0.09584405854
254	0.09569246521
255	0.09558560028
256	0.09541160604
257	0.09523094357
258	0.09510604979
259	0.09501252796
260	0.09476962219
261	0.09454953785
262	0.09443175949
263	0.09424231288
264	0.09405733177
265	0.09393532153
266	0.09375420518
267	0.09355554723
268	0.09344992383
269	0.09336176861
270	0.0932001229
271	0.09309311113
272	0.09301693066
273	0.09281510214
274	0.09252132706
275	0.09240932248
276	0.09217276452
277	0.09193505181
278	0.09191534087
279	0.0917092204
280	0.09162597122
281	0.09147413092
282	0.09121439109
283	0.0909988924
284	0.09085214503
285	0.09069972401
286	0.09049904357
287	0.09025265351
288	0.09009411829
289	0.08990885016
290	0.08965798125
291	0.08955387306
292	0.08944751543
293	0.08939634575
294	0.08923791734
295	0.08910486684
296	0.08903494073
297	0.08884302441
298	0.08863244511
299	0.08858212982
300	0.08841732022
301	0.0883235047
302	0.08817679071
303	0.08783474286
304	0.08767692853
305	0.08754931139
306	0.08741735557
307	0.08726863911
308	0.08711820053
309	0.0870253996
310	0.08681217037
311	0.08666440842
312	0.08633514965
313	0.0862579279
314	0.08616031436
315	0.08604616714
316	0.08584377793
317	0.08572300254
318	0.08560465014
319	0.08549007573
320	0.08526333653
321	0.08500385702
322	0.084846837
323	0.08470165156
324	0.08453532675
325	0.08441075336
326	0.08433735631
327	0.08413514732
328	0.08401252967
329	0.0839143955
330	0.08372289302
331	0.08351699949
332	0.08335156912
333	0.08309475956
334	0.08285260805
335	0.08279212024
336	0.08266426947
337	0.08250927863
338	0.08238533267
339	0.08230217027
340	0.08215673785
341	0.08207415617
342	0.0819772168
343	0.08173283588
344	0.08164902601
345	0.08164711699
346	0.08152883802
347	0.08139257022
348	0.08123567703
349	0.08108997762
350	0.08089589197
351	0.08088471821
352	0.08075047958
353	0.08068529932
354	0.08049861611
355	0.08039177121
356	0.08027574167
357	0.08015077446
358	0.07999831339
359	0.07985796056
360	0.07976712204
361	0.07969663525
362	0.0794788671
363	0.07939719319
364	0.07921257253
365	0.07899252156
366	0.07889349296
367	0.07874186625
368	0.07860746742
369	0.07844241085
370	0.07843653027
371	0.07841867495
372	0.07818769053
373	0.07805305808
374	0.07783860067
375	0.07776290079
376	0.07766384549
377	0.07756437634
378	0.07740849773
379	0.07726793798
380	0.07724271359
381	0.07704266058
382	0.07685410173
383	0.07677710025
384	0.07666121088
385	0.07657410362
386	0.07651675968
387	0.07637395717
388	0.07629945877
389	0.07624755486
390	0.07609803741
391	0.07600958183
392	0.07592459718
393	0.07590275695
394	0.07579124631
395	0.07573645217
396	0.07556191058
397	0.07547075834
398	0.07538898431
399	0.07537613516
400	0.07524255067
401	0.07522610375
402	0.07514359548
403	0.07503494169
404	0.0749335702
405	0.07485461298
406	0.07481700667
407	0.07470254573
408	0.0746234283
409	0.07459442593
410	0.07451592927
411	0.07445530795
412	0.07427377776
413	0.07419605539
414	0.0741837736
415	0.0741263896
416	0.07396084576
417	0.07385486192
418	0.07367562121
419	0.07346203154
420	0.07336114732
421	0.07335202942
422	0.07328143583
423	0.07315832423
424	0.07312195278
425	0.0730314213
426	0.07293102435
427	0.07284938382
428	0.07272855503
429	0.07272499732
430	0.0725508362
431	0.07243113547
432	0.07229894603
433	0.07220495029
434	0.07210559461
435	0.07207790719
436	0.07190877893
437	0.07179347027
438	0.07159602715
439	0.07156553627
440	0.07146310347
441	0.07141081909
442	0.07131362608
443	0.07125825123
444	0.07113732232
445	0.07105440689
446	0.07097253941
447	0.07089293472
448	0.0707541238
449	0.07065950062
